Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
4;2022-09-02 09:00:00;2020-06-01;VR01;Groningen;3;0
4;2022-09-02 09:00:00;2020-06-02;VR01;Groningen;207;0
4;2022-09-02 09:00:00;2020-06-03;VR01;Groningen;207;0
4;2022-09-02 09:00:00;2020-06-04;VR01;Groningen;241;1
4;2022-09-02 09:00:00;2020-06-05;VR01;Groningen;224;0
4;2022-09-02 09:00:00;2020-06-06;VR01;Groningen;96;0
4;2022-09-02 09:00:00;2020-06-07;VR01;Groningen;8;0
4;2022-09-02 09:00:00;2020-06-08;VR01;Groningen;291;1
4;2022-09-02 09:00:00;2020-06-09;VR01;Groningen;219;0
4;2022-09-02 09:00:00;2020-06-10;VR01;Groningen;197;3
4;2022-09-02 09:00:00;2020-06-11;VR01;Groningen;197;1
4;2022-09-02 09:00:00;2020-06-12;VR01;Groningen;141;1
4;2022-09-02 09:00:00;2020-06-13;VR01;Groningen;83;0
4;2022-09-02 09:00:00;2020-06-14;VR01;Groningen;17;0
4;2022-09-02 09:00:00;2020-06-15;VR01;Groningen;302;2
4;2022-09-02 09:00:00;2020-06-16;VR01;Groningen;275;0
4;2022-09-02 09:00:00;2020-06-17;VR01;Groningen;246;0
4;2022-09-02 09:00:00;2020-06-18;VR01;Groningen;271;0
4;2022-09-02 09:00:00;2020-06-19;VR01;Groningen;235;0
4;2022-09-02 09:00:00;2020-06-20;VR01;Groningen;103;0
4;2022-09-02 09:00:00;2020-06-21;VR01;Groningen;33;0
4;2022-09-02 09:00:00;2020-06-22;VR01;Groningen;364;0
4;2022-09-02 09:00:00;2020-06-23;VR01;Groningen;308;0
4;2022-09-02 09:00:00;2020-06-24;VR01;Groningen;208;0
4;2022-09-02 09:00:00;2020-06-25;VR01;Groningen;274;0
4;2022-09-02 09:00:00;2020-06-26;VR01;Groningen;192;0
4;2022-09-02 09:00:00;2020-06-27;VR01;Groningen;115;0
4;2022-09-02 09:00:00;2020-06-28;VR01;Groningen;26;0
4;2022-09-02 09:00:00;2020-06-29;VR01;Groningen;391;0
4;2022-09-02 09:00:00;2020-06-30;VR01;Groningen;376;0
4;2022-09-02 09:00:00;2020-07-01;VR01;Groningen;327;0
4;2022-09-02 09:00:00;2020-07-02;VR01;Groningen;297;0
4;2022-09-02 09:00:00;2020-07-03;VR01;Groningen;233;0
4;2022-09-02 09:00:00;2020-07-04;VR01;Groningen;160;0
4;2022-09-02 09:00:00;2020-07-05;VR01;Groningen;36;0
4;2022-09-02 09:00:00;2020-07-06;VR01;Groningen;464;1
4;2022-09-02 09:00:00;2020-07-07;VR01;Groningen;339;1
4;2022-09-02 09:00:00;2020-07-08;VR01;Groningen;383;0
4;2022-09-02 09:00:00;2020-07-09;VR01;Groningen;320;1
4;2022-09-02 09:00:00;2020-07-10;VR01;Groningen;312;0
4;2022-09-02 09:00:00;2020-07-11;VR01;Groningen;199;0
4;2022-09-02 09:00:00;2020-07-12;VR01;Groningen;35;0
4;2022-09-02 09:00:00;2020-07-13;VR01;Groningen;458;0
4;2022-09-02 09:00:00;2020-07-14;VR01;Groningen;324;0
4;2022-09-02 09:00:00;2020-07-15;VR01;Groningen;346;0
4;2022-09-02 09:00:00;2020-07-16;VR01;Groningen;414;0
4;2022-09-02 09:00:00;2020-07-17;VR01;Groningen;452;1
4;2022-09-02 09:00:00;2020-07-18;VR01;Groningen;264;1
4;2022-09-02 09:00:00;2020-07-19;VR01;Groningen;66;0
4;2022-09-02 09:00:00;2020-07-20;VR01;Groningen;529;0
4;2022-09-02 09:00:00;2020-07-21;VR01;Groningen;517;0
4;2022-09-02 09:00:00;2020-07-22;VR01;Groningen;488;1
4;2022-09-02 09:00:00;2020-07-23;VR01;Groningen;516;3
4;2022-09-02 09:00:00;2020-07-24;VR01;Groningen;504;2
4;2022-09-02 09:00:00;2020-07-25;VR01;Groningen;342;2
4;2022-09-02 09:00:00;2020-07-26;VR01;Groningen;76;0
4;2022-09-02 09:00:00;2020-07-27;VR01;Groningen;577;2
4;2022-09-02 09:00:00;2020-07-28;VR01;Groningen;597;1
4;2022-09-02 09:00:00;2020-07-29;VR01;Groningen;570;2
4;2022-09-02 09:00:00;2020-07-30;VR01;Groningen;410;5
4;2022-09-02 09:00:00;2020-07-31;VR01;Groningen;340;5
4;2022-09-02 09:00:00;2020-08-01;VR01;Groningen;181;0
4;2022-09-02 09:00:00;2020-08-02;VR01;Groningen;200;5
4;2022-09-02 09:00:00;2020-08-03;VR01;Groningen;505;6
4;2022-09-02 09:00:00;2020-08-04;VR01;Groningen;476;7
4;2022-09-02 09:00:00;2020-08-05;VR01;Groningen;508;6
4;2022-09-02 09:00:00;2020-08-06;VR01;Groningen;472;9
4;2022-09-02 09:00:00;2020-08-07;VR01;Groningen;475;7
4;2022-09-02 09:00:00;2020-08-08;VR01;Groningen;312;5
4;2022-09-02 09:00:00;2020-08-09;VR01;Groningen;232;5
4;2022-09-02 09:00:00;2020-08-10;VR01;Groningen;581;6
4;2022-09-02 09:00:00;2020-08-11;VR01;Groningen;515;9
4;2022-09-02 09:00:00;2020-08-12;VR01;Groningen;474;7
4;2022-09-02 09:00:00;2020-08-13;VR01;Groningen;573;9
4;2022-09-02 09:00:00;2020-08-14;VR01;Groningen;696;10
4;2022-09-02 09:00:00;2020-08-15;VR01;Groningen;560;7
4;2022-09-02 09:00:00;2020-08-16;VR01;Groningen;409;4
4;2022-09-02 09:00:00;2020-08-17;VR01;Groningen;678;7
4;2022-09-02 09:00:00;2020-08-18;VR01;Groningen;667;10
4;2022-09-02 09:00:00;2020-08-19;VR01;Groningen;719;8
4;2022-09-02 09:00:00;2020-08-20;VR01;Groningen;789;6
4;2022-09-02 09:00:00;2020-08-21;VR01;Groningen;739;4
4;2022-09-02 09:00:00;2020-08-22;VR01;Groningen;664;2
4;2022-09-02 09:00:00;2020-08-23;VR01;Groningen;453;2
4;2022-09-02 09:00:00;2020-08-24;VR01;Groningen;831;3
4;2022-09-02 09:00:00;2020-08-25;VR01;Groningen;957;2
4;2022-09-02 09:00:00;2020-08-26;VR01;Groningen;994;2
4;2022-09-02 09:00:00;2020-08-27;VR01;Groningen;915;7
4;2022-09-02 09:00:00;2020-08-28;VR01;Groningen;901;5
4;2022-09-02 09:00:00;2020-08-29;VR01;Groningen;622;1
4;2022-09-02 09:00:00;2020-08-30;VR01;Groningen;499;4
4;2022-09-02 09:00:00;2020-08-31;VR01;Groningen;799;6
4;2022-09-02 09:00:00;2020-09-01;VR01;Groningen;827;8
4;2022-09-02 09:00:00;2020-09-02;VR01;Groningen;964;6
4;2022-09-02 09:00:00;2020-09-03;VR01;Groningen;926;3
4;2022-09-02 09:00:00;2020-09-04;VR01;Groningen;895;10
4;2022-09-02 09:00:00;2020-09-05;VR01;Groningen;652;9
4;2022-09-02 09:00:00;2020-09-06;VR01;Groningen;694;17
4;2022-09-02 09:00:00;2020-09-07;VR01;Groningen;930;16
4;2022-09-02 09:00:00;2020-09-08;VR01;Groningen;955;34
4;2022-09-02 09:00:00;2020-09-09;VR01;Groningen;882;20
4;2022-09-02 09:00:00;2020-09-10;VR01;Groningen;924;20
4;2022-09-02 09:00:00;2020-09-11;VR01;Groningen;938;34
4;2022-09-02 09:00:00;2020-09-12;VR01;Groningen;728;21
4;2022-09-02 09:00:00;2020-09-13;VR01;Groningen;657;29
4;2022-09-02 09:00:00;2020-09-14;VR01;Groningen;951;37
4;2022-09-02 09:00:00;2020-09-15;VR01;Groningen;919;49
4;2022-09-02 09:00:00;2020-09-16;VR01;Groningen;921;43
4;2022-09-02 09:00:00;2020-09-17;VR01;Groningen;932;59
4;2022-09-02 09:00:00;2020-09-18;VR01;Groningen;900;61
4;2022-09-02 09:00:00;2020-09-19;VR01;Groningen;748;65
4;2022-09-02 09:00:00;2020-09-20;VR01;Groningen;778;71
4;2022-09-02 09:00:00;2020-09-21;VR01;Groningen;967;77
4;2022-09-02 09:00:00;2020-09-22;VR01;Groningen;1033;71
4;2022-09-02 09:00:00;2020-09-23;VR01;Groningen;1020;75
4;2022-09-02 09:00:00;2020-09-24;VR01;Groningen;1039;87
4;2022-09-02 09:00:00;2020-09-25;VR01;Groningen;1081;94
4;2022-09-02 09:00:00;2020-09-26;VR01;Groningen;1050;81
4;2022-09-02 09:00:00;2020-09-27;VR01;Groningen;872;94
4;2022-09-02 09:00:00;2020-09-28;VR01;Groningen;1038;88
4;2022-09-02 09:00:00;2020-09-29;VR01;Groningen;1061;97
4;2022-09-02 09:00:00;2020-09-30;VR01;Groningen;1126;80
4;2022-09-02 09:00:00;2020-10-01;VR01;Groningen;1137;75
4;2022-09-02 09:00:00;2020-10-02;VR01;Groningen;1115;90
4;2022-09-02 09:00:00;2020-10-03;VR01;Groningen;1037;100
4;2022-09-02 09:00:00;2020-10-04;VR01;Groningen;701;89
4;2022-09-02 09:00:00;2020-10-05;VR01;Groningen;1519;175
4;2022-09-02 09:00:00;2020-10-06;VR01;Groningen;1548;163
4;2022-09-02 09:00:00;2020-10-07;VR01;Groningen;1699;142
4;2022-09-02 09:00:00;2020-10-08;VR01;Groningen;1602;145
4;2022-09-02 09:00:00;2020-10-09;VR01;Groningen;1595;130
4;2022-09-02 09:00:00;2020-10-10;VR01;Groningen;1189;103
4;2022-09-02 09:00:00;2020-10-11;VR01;Groningen;1158;117
4;2022-09-02 09:00:00;2020-10-12;VR01;Groningen;1456;158
4;2022-09-02 09:00:00;2020-10-13;VR01;Groningen;1518;164
4;2022-09-02 09:00:00;2020-10-14;VR01;Groningen;1481;149
4;2022-09-02 09:00:00;2020-10-15;VR01;Groningen;1571;105
